Where?,What?,What is the change?,The new thing
Homepage,"Why settle for lectures when your classroom can be a playground of discovery? With our story-driven, hands-on games, students don’t just learn — they live the lesson.",text change  ,"What if your classroom could also be a playground of discovery?

With our story-driven, hands-on games, students don’t just learn — they live the lesson."
Homepage - Dino cards,The orange and blue have the same text. ,text change for all the three boxes,"Orange box - Every game opens with a story that students step into, setting the stage for learning through play.
Blue box - Students shape the experience by making choices, tackling challenges, and seeing the results unfold.
Green box - Concepts aren’t just memorized — they’re lived, explored, and remembered."
Homepage,"The green is becoming off the same as the text ka colour of Games for Learning

Also - when the green X and O go to the text of games for learning - it goes in front of it but for the other colour X and Os they go behind the text.",The X and O - colour change,
Homepage,"We design every game to ignite curiosity, spark joy, and make learning meaningful",text,"We design every game to spark curiosity, bring joy, and make learning meaningful."
Homepage,Is the scroll down text really required?,,
Homepage,"Our games are full of surprise, challenge, and laughter. Students step into stories, tackle puzzles, and discover ideas they’ll remember long after the bell rings.",text change,"Our games are full of surprise, challenge, and laughter, turning classroom moments into experiences students remember long after the bell rings."
Homepage,The box where the picture of the three of us is there,text change in the paragraph. ,"We are Games For Ed.
We are a team of educators and creators designing playful, experience-based learning for classrooms.

Our roots stretch from the Harvard Graduate School of Education to Asia School of Business, MIT Sloan, and TRIO World School, but what truly binds us is a love for play and discovery.

We’ve seen, again and again, that learning works best when it is active and engaging. When it excites the imagination, builds teamwork, and leaves students with ideas they carry far beyond the classroom.

At Games For Ed, every experience is thoughtfully designed around play, with stories and challenges that bring learning to life and stay with students long after class ends."
Homepage,"Include Featured in. 

Fully at the end of the homepage",,"The links 
- https://www.gse.harvard.edu/ideas/ed-magazine/25/08/play-and-legos-help-students-stay-ahead-game
- https://www.thecrimson.com/article/2025/10/22/HGSE-Games-India/"
Homepage,Include link to Overnight Game Studio,,https://www.overnightgamestudio.com
Our Story,What we believe about learning ,Add two more boxes to make it symmetric. It looks imcomplete now. ,"Explore Possibilities - Games create space to try different paths, revise approaches, and learn through iteration.
Think Creatively - Students use imagination within clear boundaries, exploring ideas and possibilities while working toward shared goals."
Our Story,In Our Roots - the four boxes ,Add Teach for India - Because it shows on the ground work also implying having worked in the Urban poor settings and not just Urban.,Teach for India
Our Story,"In our roots- But more importantly, it’s shaped by sitting on classroom floors, running pilots that break, watching students misunderstand rules, and redesigning again.",text change,"But more importantly, it’s shaped by sitting in classrooms, running pilots, watching students misunderstand rules, and redesigning again."
Our story,What makes Games for Ed different ,The aligning of our games and we design experiences is very off. Because of the extra Where ,
Our story,Where we're headed,,"We are building a library of game-based learning experiences designed for real classrooms and real learners.

Our long-term vision is to help schools move beyond content delivery toward experience-driven learning, where play, choice, and reflection shape understanding.

We want students to leave classrooms not just knowing facts, but understanding ideas — making connections, asking thoughtful questions, and carrying curiosity with them."
Our story,Who we are,text,"Each of us comes from a slightly different background, but we share a common instinct: boredom is rarely the student’s fault, its a signal to rethink how learning is designed."
Our Story,How games for Ed came to be,text,"Games For Ed did not start with a business plan or a product roadmap. It started with a classroom moment most educators recognize.

Bright students. Capable teachers. And yet, learning felt heavy.

We kept seeing the same pattern across schools. Students could repeat answers, but struggled to explain ideas. They memorized, but forgot. Curiosity slowly faded, even in spaces meant to nurture it.

But when students played games, something changed. They discussed and debated. They negotiated. They tried again after failing. They remembered concepts weeks later. They took ownership of their learning."
Our Story,,,
Let's Talk,The whole form thingy,The alignment is very off. The lines are not matching,
Let's Talk,The Linkedin part of it. ,,"You can also find us on LinkedIn, where we share updates, behind-the-scenes work, and reflections from classrooms."
Impact,the why these signals matter to us,"REMOVE THE PICTURE.
Shift the dinner table line below the points. ",
Impact,Voices from the classroom ,"Can we change it to 

Voices from our Learning Community 
and then include two school leader comments too. 

It'll also make it 9!! SO there's no blank space. ","- School Leader 1 
What stood out was how clearly students could talk about their decisions and learning, even after the game was over.
- School Leader 2 
What I noticed was students taking ownership of their learning. They spoke with confidence about their choices, without looking for approval or the “right” answer."
,,Shouldn't see it in action on the impact page - redirect to programs? [Right now its going to the homepage],
,,"On the Impact page- 

The tab says Impact and Learning but on the page it says Impact and Voices.",
